Date,Ticker,Close_Price,Bank
2021-07-07,CM.TO,56.74,CIBC
2021-07-07,RY.TO,105.68,Royal Bank
2021-07-07,BNS.TO,61.05,Scotiabank
2021-07-07,TD.TO,70.58,TD Bank
2021-07-08,BMO.TO,102.66,BMO
2021-07-08,CM.TO,56.24,CIBC
2021-07-08,RY.TO,105.53,Royal Bank
2021-07-08,BNS.TO,60.21,Scotiabank
2021-07-08,TD.TO,68.61,TD Bank
2021-07-09,BMO.TO,103.6,BMO
2021-07-09,CM.TO,56.81,CIBC
2021-07-09,RY.TO,106.03,Royal Bank
2021-07-09,BNS.TO,60.95,Scotiabank
2021-07-09,TD.TO,69.39,TD Bank
2021-07-12,BMO.TO,104.32,BMO
2021-07-12,CM.TO,57.2,CIBC
2021-07-12,RY.TO,107.16,Royal Bank
2021-07-12,BNS.TO,61.26,Scotiabank
2021-07-12,TD.TO,69.68,TD Bank
2021-07-13,BMO.TO,104.13,BMO
2021-07-13,CM.TO,57.38,CIBC
2021-07-13,RY.TO,107.38,Royal Bank
2021-07-13,BNS.TO,61.11,Scotiabank
2021-07-13,TD.TO,69.39,TD Bank
2021-07-14,BMO.TO,103.85,BMO
2021-07-14,CM.TO,57.41,CIBC
2021-07-14,RY.TO,108.02,Royal Bank
2021-07-14,BNS.TO,61.09,Scotiabank
2021-07-14,TD.TO,69.35,TD Bank
2021-07-15,BMO.TO,103.78,BMO
2021-07-15,CM.TO,57.55,CIBC
2021-07-15,RY.TO,108.5,Royal Bank
2021-07-15,BNS.TO,61.2,Scotiabank
2021-07-15,TD.TO,69.35,TD Bank
2021-07-16,BMO.TO,102.77,BMO
2021-07-16,CM.TO,57.2,CIBC
2021-07-16,RY.TO,107.01,Royal Bank
2021-07-16,BNS.TO,60.66,Scotiabank
2021-07-16,TD.TO,68.83,TD Bank
2021-07-19,BMO.TO,100.52,BMO
2021-07-19,CM.TO,56.3,CIBC
2021-07-19,RY.TO,105.33,Royal Bank
2021-07-19,BNS.TO,59.31,Scotiabank
2021-07-19,TD.TO,67.02,TD Bank
2021-07-20,BMO.TO,101.15,BMO
2021-07-20,CM.TO,56.47,CIBC
2021-07-20,RY.TO,105.71,Royal Bank
2021-07-20,BNS.TO,59.99,Scotiabank
2021-07-20,TD.TO,67.46,TD Bank
2021-07-21,BMO.TO,101.96,BMO
2021-07-21,CM.TO,57.09,CIBC
2021-07-21,RY.TO,105.97,Royal Bank
2021-07-21,BNS.TO,60.25,Scotiabank
2021-07-21,TD.TO,67.87,TD Bank
2021-07-22,BMO.TO,101.52,BMO
2021-07-22,CM.TO,57.07,CIBC
2021-07-22,RY.TO,105.6,Royal Bank
2021-07-22,BNS.TO,59.78,Scotiabank
2021-07-22,TD.TO,67.51,TD Bank
2021-07-23,BMO.TO,102.25,BMO
2021-07-23,CM.TO,57.31,CIBC
2021-07-23,RY.TO,106.06,Royal Bank
2021-07-23,BNS.TO,60.2,Scotiabank
2021-07-23,TD.TO,67.73,TD Bank
2021-07-26,BMO.TO,102.95,BMO
2021-07-26,CM.TO,57.73,CIBC
2021-07-26,RY.TO,106.51,Royal Bank
2021-07-26,BNS.TO,60.24,Scotiabank
2021-07-26,TD.TO,67.74,TD Bank
2021-07-27,BMO.TO,103.01,BMO
2021-07-27,CM.TO,57.87,CIBC
2021-07-27,RY.TO,107.09,Royal Bank
2021-07-27,BNS.TO,60.17,Scotiabank
2021-07-27,TD.TO,68.07,TD Bank
2021-07-28,BMO.TO,103.1,BMO
2021-07-28,CM.TO,58.1,CIBC
2021-07-28,RY.TO,107.17,Royal Bank
2021-07-28,BNS.TO,60.41,Scotiabank
2021-07-28,TD.TO,68.2,TD Bank
2021-07-29,BMO.TO,103.62,BMO
2021-07-29,CM.TO,58.39,CIBC
2021-07-29,RY.TO,107.48,Royal Bank
2021-07-29,BNS.TO,60.76,Scotiabank
2021-07-29,TD.TO,68.57,TD Bank
2021-07-30,BMO.TO,102.33,BMO
2021-07-30,CM.TO,58.09,CIBC
2021-07-30,RY.TO,106.79,Royal Bank
2021-07-30,BNS.TO,60.16,Scotiabank
2021-07-30,TD.TO,67.96,TD Bank
2021-08-03,BMO.TO,102.94,BMO
2021-08-03,CM.TO,57.43,CIBC
2021-08-03,RY.TO,106.87,Royal Bank
2021-08-03,BNS.TO,60.4,Scotiabank
2021-08-03,TD.TO,68.5,TD Bank
2021-08-04,BMO.TO,102.71,BMO
2021-08-04,CM.TO,57.76,CIBC
2021-08-04,RY.TO,107.65,Royal Bank
2021-08-04,BNS.TO,60.34,Scotiabank
2021-08-04,TD.TO,68.32,TD Bank
2021-08-05,BMO.TO,103.94,BMO
2021-08-05,CM.TO,58.07,CIBC
2021-08-05,RY.TO,108.26,Royal Bank
2021-08-05,BNS.TO,60.8,Scotiabank
2021-08-05,TD.TO,68.57,TD Bank
2021-08-06,BMO.TO,104.75,BMO
2021-08-06,CM.TO,59.03,CIBC
2021-08-06,RY.TO,109.29,Royal Bank
2021-08-06,BNS.TO,61.49,Scotiabank
2021-08-06,TD.TO,69.45,TD Bank
2021-08-09,BMO.TO,104.83,BMO
2021-08-09,CM.TO,58.88,CIBC
2021-08-09,RY.TO,109.47,Royal Bank
2021-08-09,BNS.TO,61.64,Scotiabank
2021-08-09,TD.TO,69.3,TD Bank
2021-08-10,BMO.TO,105.97,BMO
2021-08-10,CM.TO,59.04,CIBC
2021-08-10,RY.TO,110.32,Royal Bank
2021-08-10,BNS.TO,62.35,Scotiabank
2021-08-10,TD.TO,70.24,TD Bank
2021-08-11,BMO.TO,106.91,BMO
2021-08-11,CM.TO,59.3,CIBC
2021-08-11,RY.TO,110.83,Royal Bank
2021-08-11,BNS.TO,62.63,Scotiabank
2021-08-11,TD.TO,70.88,TD Bank
2021-08-12,BMO.TO,106.97,BMO
2021-08-12,CM.TO,59.46,CIBC
2021-08-12,RY.TO,110.93,Royal Bank
2021-08-12,BNS.TO,62.66,Scotiabank
2021-08-12,TD.TO,70.82,TD Bank
2021-08-13,BMO.TO,106.64,BMO
2021-08-13,CM.TO,59.72,CIBC
2021-08-13,RY.TO,110.92,Royal Bank
2021-08-13,BNS.TO,62.55,Scotiabank
2021-08-13,TD.TO,70.55,TD Bank
2021-08-16,BMO.TO,106.03,BMO
2021-08-16,CM.TO,59.72,CIBC
2021-08-16,RY.TO,111.02,Royal Bank
2021-08-16,BNS.TO,62.6,Scotiabank
2021-08-16,TD.TO,70.68,TD Bank
2021-08-17,BMO.TO,105.62,BMO
2021-08-17,CM.TO,59.23,CIBC
2021-08-17,RY.TO,110.65,Royal Bank
2021-08-17,BNS.TO,62.23,Scotiabank
2021-08-17,TD.TO,70.4,TD Bank
2021-08-18,BMO.TO,106.16,BMO
2021-08-18,CM.TO,59.39,CIBC
2021-08-18,RY.TO,110.58,Royal Bank
2021-08-18,BNS.TO,62.09,Scotiabank
2021-08-18,TD.TO,70.17,TD Bank
2021-08-19,BMO.TO,105.03,BMO
2021-08-19,CM.TO,58.81,CIBC
2021-08-19,RY.TO,110.31,Royal Bank
